gnupg-l10n	2.4.8-4ubuntu3	amd64
gnupg-utils	2.4.8-4ubuntu3	amd64
gparted	1.8.0-1	amd64
gparted-common	1.8.0-1	amd64
gpg	2.4.8-4ubuntu3	amd64
gpg-agent	2.4.8-4ubuntu3	amd64
gpg-wks-client	2.4.8-4ubuntu3	amd64
gpgconf	2.4.8-4ubuntu3	amd64
gpgsm	2.4.8-4ubuntu3	amd64
gpgv	2.4.8-4ubuntu3	amd64
grep	3.12-1	amd64
groff-base	1.23.0-10	amd64
grub-common	2.14-2ubuntu2	amd64
grub-efi-amd64-bin	2.14-2ubuntu1	amd64
grub-efi-amd64-signed	1.215+2.14-2ubuntu1	amd64
grub-efi-amd64-unsigned	2.14-2ubuntu1	amd64
grub-gfxpayload-lists	0.7build3	amd64
grub-pc	2.14-2ubuntu2	amd64
grub-pc-bin	2.14-2ubuntu2	amd64
grub2-common	2.14-2ubuntu2	amd64
gsettings-desktop-schemas	50.0-1ubuntu2	amd64
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu4	amd64
gst-audio-thumbnailer	1.0.0-0ubuntu1	amd64
gst-video-thumbnailer	1.0.0-0ubuntu1	amd64
gstreamer1.0-alsa:amd64	1.28.2-1	amd64
gstreamer1.0-gl:amd64	1.28.2-1	amd64
gstreamer1.0-gtk3:amd64	1.28.2-2	amd64
gstreamer1.0-gtk4:amd64	0.14.4-1ubuntu1	amd64
gstreamer1.0-libcamera:amd64	0.7.0-1ubuntu2	amd64
gstreamer1.0-packagekit	1.3.4-3	amd64
gstreamer1.0-pipewire:amd64	1.6.2-1ubuntu1	amd64
gstreamer1.0-plugins-base-apps	1.28.2-1	amd64
gstreamer1.0-plugins-base:amd64	1.28.2-1	amd64
gstreamer1.0-plugins-extra:amd64	1.28.2-1ubuntu1	amd64
gstreamer1.0-plugins-good:amd64	1.28.2-2	amd64
gstreamer1.0-tools	1.28.2-1	amd64
gstreamer1.0-x:amd64	1.28.2-1	amd64
gtk-im-libthai:amd64	0.2.2-3build1	amd64
gtk-update-icon-cache	4.22.2+ds-1ubuntu1	amd64
gtk2-engines-murrine:amd64	0.98.2-4ubuntu1	amd64
gtk2-engines-pixbuf:amd64	2.24.33-10	amd64
gvfs-backends	1.60.0-1	amd64
gvfs-common	1.60.0-1	amd64
gvfs-daemons	1.60.0-1	amd64
gvfs-fuse	1.60.0-1	amd64
gvfs-libs:amd64	1.60.0-1	amd64
gvfs:amd64	1.60.0-1	amd64
gzip	1.14-1~exp2ubuntu1	amd64
hdparm	9.65+ds-1.1build1	amd64
heif-gdk-pixbuf:amd64	1.21.2-3	amd64
heif-thumbnailer	1.21.2-3	amd64
hicolor-icon-theme	0.18-2build1	amd64
hostname	3.25build1	amd64
hplip	3.24.4+dfsg0-0ubuntu8	amd64
hplip-data	3.24.4+dfsg0-0ubuntu8	amd64
hunspell-de-at-frami	1:25.2.3-1build1	amd64
hunspell-de-ch-frami	1:25.2.3-1build1	amd64
hunspell-de-de-frami	1:25.2.3-1build1	amd64
hunspell-en-au	1:2020.12.07-4build1	amd64
hunspell-en-ca	1:2020.12.07-4build1	amd64
hunspell-en-gb	1:25.2.3-1build1	amd64
hunspell-en-us	1:2020.12.07-4build1	amd64
hunspell-en-za	1:25.2.3-1build1	amd64
hunspell-es	1:25.2.3-1build1	amd64
hunspell-fr	1:7.7-1	amd64
hunspell-fr-classical	1:7.7-1	amd64
hunspell-it	1:25.2.3-1build1	amd64
hunspell-pt-br	1:25.2.3-1build1	amd64
hunspell-pt-pt	1:25.2.3-1build1	amd64
hunspell-ru	1:25.2.3-1build1	amd64
hwctl	0.11.0-0ubuntu1	amd64
hwdata	0.394-1build1	amd64
hyphen-de	1:25.2.3-1build1	amd64
hyphen-en-ca	0.10ubuntu3	amd64
hyphen-en-gb	1:25.2.3-1build1	amd64
hyphen-en-us	2.8.8-7build4	amd64
hyphen-es	1:25.2.3-1build1	amd64
hyphen-fr	1:25.2.3-1build1	amd64
hyphen-it	1:25.2.3-1build1	amd64
hyphen-pt-br	1:25.2.3-1build1	amd64
hyphen-pt-pt	1:25.2.3-1build1	amd64
hyphen-ru	20030310-1ubuntu4	amd64
ibus	1.5.34~rc2-1	amd64
ibus-chewing	2.1.7-1	amd64
ibus-data	1.5.34~rc2-1	amd64
ibus-gtk3:amd64	1.5.34~rc2-1	amd64
ibus-gtk4:amd64	1.5.34~rc2-1	amd64
ibus-gtk:amd64	1.5.34~rc2-1	amd64
ibus-hangul	1.5.5-3	amd64
ibus-libpinyin	1.16.5-2	amd64
ibus-m17n	1.4.38-1	amd64
ibus-mozc	2.29.5160.102+dfsg-1.4ubuntu5	amd64
ibus-table	1.17.16-1build1	amd64
ibus-table-cangjie	1.8.14-1build1	amd64
ibus-table-cangjie-big	1.8.14-1build1	amd64
ibus-table-cangjie3	1.8.14-1build1	amd64
ibus-table-cangjie5	1.8.14-1build1	amd64
ibus-table-quick-classic	1.8.14-1build1	amd64
ibus-table-wubi	1.8.14-1build1	amd64
ibus-unikey	0.7.0~beta1-3	amd64
ibverbs-providers:amd64	61.0-2ubuntu3	amd64
ieee-data	20240722build1	amd64
iio-sensor-proxy	3.8-1	amd64
im-config	0.62	amd64
inetutils-telnet	2:2.7-2ubuntu1	amd64
info	7.2-5ubuntu2	amd64
init	1.69	amd64
init-system-helpers	1.69	amd64
initramfs-tools	0.151ubuntu1	amd64
initramfs-tools-bin	0.151ubuntu1	amd64
initramfs-tools-core	0.151ubuntu1	amd64
inputattach	1:1.8.1-2build2	amd64
install-info	7.2-5ubuntu2	amd64
intel-microcode	3.20260210.1ubuntu2	amd64
ipp-usb	0.9.31-1	amd64
iproute2	6.19.0-1ubuntu1	amd64
iptables	1.8.11-2ubuntu3	amd64
iputils-ping	3:20250605-1ubuntu1	amd64
iputils-tracepath	3:20250605-1ubuntu1	amd64
iso-codes	4.20.1-1	amd64
iucode-tool	2.3.1-3build2	amd64
iw	6.17-1	amd64
javascript-common	12+nmu1build1	amd64
jfsutils	1.1.15-7	amd64
jq	1.8.1-4ubuntu1	amd64
kbd	2.7.1-2ubuntu2	amd64
kdump-tools	1:1.10.7ubuntu3	amd64
kexec-tools	1:2.0.32-3ubuntu1	amd64
keyboard-configuration	1.237ubuntu3	amd64
keyutils	1.6.3-6ubuntu3	amd64
klibc-utils	2.0.14-1ubuntu2	amd64
kmod	34.2-2ubuntu2	amd64
krb5-locales	1.22.1-2ubuntu4	amd64
language-pack-de	1:26.04+20260417	amd64
language-pack-de-base	1:26.04+20260417	amd64
language-pack-en	1:26.04+20260417	amd64
language-pack-en-base	1:26.04+20260417	amd64
language-pack-es	1:26.04+20260417	amd64
language-pack-es-base	1:26.04+20260417	amd64
language-pack-fr	1:26.04+20260417	amd64
language-pack-fr-base	1:26.04+20260417	amd64
language-pack-gnome-de	1:26.04+20260417	amd64
language-pack-gnome-de-base	1:26.04+20260417	amd64
language-pack-gnome-en	1:26.04+20260417	amd64
language-pack-gnome-en-base	1:26.04+20260417	amd64
language-pack-gnome-es	1:26.04+20260417	amd64
language-pack-gnome-es-base	1:26.04+20260417	amd64
language-pack-gnome-fr	1:26.04+20260417	amd64
language-pack-gnome-fr-base	1:26.04+20260417	amd64
language-pack-gnome-it	1:26.04+20260417	amd64
language-pack-gnome-it-base	1:26.04+20260417	amd64
language-pack-gnome-pt	1:26.04+20260417	amd64
language-pack-gnome-pt-base	1:26.04+20260417	amd64
language-pack-gnome-ru	1:26.04+20260417	amd64
language-pack-gnome-ru-base	1:26.04+20260417	amd64
language-pack-gnome-zh-hans	1:26.04+20260417	amd64
language-pack-gnome-zh-hans-base	1:26.04+20260417	amd64
language-pack-it	1:26.04+20260417	amd64
language-pack-it-base	1:26.04+20260417	amd64
language-pack-pt	1:26.04+20260417	amd64
language-pack-pt-base	1:26.04+20260417	amd64
language-pack-ru	1:26.04+20260417	amd64
language-pack-ru-base	1:26.04+20260417	amd64
language-pack-zh-hans	1:26.04+20260417	amd64
language-pack-zh-hans-base	1:26.04+20260417	amd64
language-selector-common	0.228build1	amd64
language-selector-gnome	0.228build1	amd64
laptop-detect	0.16+nmu1build1	amd64
ldap-utils	2.6.10+dfsg-1ubuntu5	amd64
less	668-1build1	amd64
libaa1:amd64	1.4p5-51.1build1	amd64
libabsl20260107:amd64	20260107.0-4	amd64
libabw-0.1-1:amd64	0.1.3-1build6	amd64
libaccountsservice0:amd64	23.13.9-8ubuntu5	amd64
libacl1:amd64	2.3.2-2	amd64
libadwaita-1-0:amd64	1.9.0-0ubuntu1	amd64
libaio1t64:amd64	0.3.113-8build1	amd64
libao-common	1.2.2+20180113-1.2ubuntu2	amd64
libao4:amd64	1.2.2+20180113-1.2ubuntu2	amd64
libaom3:amd64	3.13.1-2	amd64
libapparmor1:amd64	5.0.0~beta1-0ubuntu7	amd64
libappstream5:amd64	1.1.2-1	amd64
libapt-pkg7.0:amd64	3.2.0	amd64
libarchive13t64:amd64	3.8.5-1ubuntu2	amd64
libargon2-1:amd64	0~20190702+dfsg-5	amd64
libasound2-data	1.2.15.3-1ubuntu1	amd64
libasound2t64:amd64	1.2.15.3-1ubuntu1	amd64
libaspell15:amd64	0.60.8.2-3	amd64
libassuan9:amd64	3.0.2-2build1	amd64
libasyncns0:amd64	0.8-7	amd64
libatasmart4:amd64	0.19-6	amd64
libatk-adaptor:amd64	2.60.0-1	amd64
libatk-bridge2.0-0t64:amd64	2.60.0-1	amd64
libatk1.0-0t64:amd64	2.60.0-1	amd64
libatkmm-1.6-1v5:amd64	2.28.4-2	amd64
libatomic1:amd64	16-20260322-1ubuntu1	amd64
libatopology2t64:amd64	1.2.15.3-1ubuntu1	amd64
libatspi2.0-0t64:amd64	2.60.0-1	amd64
libattr1:amd64	1:2.5.2-4	amd64
libaudit-common	1:4.1.2-1build1	amd64
libaudit1:amd64	1:4.1.2-1build1	amd64
libauthen-sasl-perl	2.2000-1	amd64
libavahi-client3:amd64	0.8-18ubuntu1	amd64
libavahi-common-data:amd64	0.8-18ubuntu1	amd64
libavahi-common3:amd64	0.8-18ubuntu1	amd64
libavahi-core7:amd64	0.8-18ubuntu1	amd64
libavahi-glib1:amd64	0.8-18ubuntu1	amd64
libavahi-ui-gtk3-0:amd64	0.8-18ubuntu1	amd64
